Xloc,Yloc
3936.58289,185.529214
2818.396356,81.731308
3042.505472,138.348347
3030.710255,343.585116
2801.883053,452.101109
2929.271392,718.673004
2771.21549,897.960296
2445.667512,746.981524
2367.819082,480.409629
2417.358992,294.045207
2238.0717,261.0186
1959.704588,336.507986
1884.215202,478.050585
2256.944046,723.391091
1995.090238,808.31665
1721.441212,872.01082
2122.478577,942.782119
2384.332385,1041.861939
2632.031934,1204.635928
2407.922819,1343.819484
2242.789786,1329.665224
2565.978721,1013.553419
2632.031934,746.981524
2577.773938,1409.872697
2457.462728,1681.162678
2358.382909,1605.673292
2318.279172,1471.207823
2507.002638,1516.029646
2245.148829,1702.394068
2358.382909,1836.859538
2287.611609,1921.785097
2157.864227,1985.479267
2120.119534,1900.553707
1959.704588,1766.088238
1881.856158,1671.726505
1804.007729,1815.628148
1518.563487,1756.652065
1700.209823,1695.316938
1483.177837,1617.468509
1339.276195,1586.800946
1204.810725,1624.545639
1093.935689,1659.931289
1051.47291,1553.774339
902.853181,1454.69452
735.361105,1379.205134
565.509986,1306.074791
652.794589,1485.362083
513.611033,1565.569556
1159.988902,1471.207823
1624.720436,1619.827552
1627.07948,1803.832931
1907.805635,1884.040404
2103.60623,1813.269104
2240.430743,1822.705278
2197.967963,2150.612299
2381.973342,2254.410205
2693.36706,2263.846378
2872.654352,2296.872985
2867.936266,2261.487335
3028.351212,2242.614989
3198.202331,2127.021866
3198.202331,1917.06701
3176.970941,1775.524411
3224.151807,1591.519032
3294.923107,1457.053563
3460.056139,1339.101397
3455.338052,1506.593473
3297.28215,1754.293021
3401.080056,1933.580314
3415.234316,2124.662823
3471.851356,1933.580314
3474.210399,1777.883455
3502.518919,1681.162678
3679.447168,1636.340855
3762.013684,1478.284953
3639.343431,1398.07748
3974.327583,1541.979123
3931.864803,1728.343545
3684.165254,1787.319628
3627.548215,1938.2984
3596.880652,2105.790476
3849.298287,2042.096306
3868.170633,1947.734574
4073.407402,1853.372841
4189.000525,1968.965963
4264.489911,1928.862227
4238.540435,1806.191974
4283.362258,1669.367462
4382.442077,1610.391379
4389.519207,1487.721126
4559.370326,1374.487047
4599.474062,1570.287642
4431.981987,1843.936668
4561.729369,1747.215891
4469.72668,1697.675982
4590.037889,1324.947137
4606.551192,1133.864628
4575.883629,1006.476289
4434.34103,973.449683
4309.311734,989.962986
4415.468684,855.497517
4693.835795,864.93369
4597.115019,905.037426
4049.816969,1690.598852
3828.066897,2228.460729
3547.340742,2268.564465
3290.20502,2301.591072
3174.611897,2362.926198
2849.063919,2452.569844
2898.603829,2568.162967
2974.093215,2584.67627
3151.021464,2572.881053
3245.383197,2546.931577
3526.109352,2471.442191
3450.619966,2395.952804
3115.635814,2690.833219
2995.324605,2794.631125
2931.630435,2983.354591
2827.832529,3016.381197
2865.577223,2796.990169
2811.319226,2660.165656
2643.82715,2546.931577
2561.260634,2438.415584
2457.462728,2532.777317
2306.483956,2509.186884
2261.662133,2403.029934
2212.122223,2393.593761
2153.14614,2447.851757
1992.731194,2471.442191
1761.544949,2492.67358
1502.050184,2518.623057
1405.329408,2561.085837
1719.082169,2622.420963
1912.523721,2690.833219
1896.010418,2594.112443
2006.885454,2339.335765
2070.579624,2629.498093
2065.861537,2907.865205
1903.087548,2863.043382
1723.800256,2893.710945
1730.877386,3039.971631
1903.087548,3068.28015
2037.553017,3089.51154
2089.45197,3221.617966
2091.811014,3412.700475
2004.526411,3483.471775
1938.473198,3294.748309
1808.725815,3294.748309
1770.981122,3431.572822
1775.699209,3599.064897
1572.821483,3474.035601
1556.30818,3398.546215
1523.281574,3311.261612
1693.132693,3266.439789
1837.034335,3384.391955
1905.446591,3542.447858
1417.124624,1895.835621
2521.632481,31.455377
